ID,title,description,tag,image,path,genre,mood,distributor,branded-vod,k_means,k_genre,GenreType,Language,Local
34,Sex Life of Plants ,"After an accident changes her boyfriend's personality, a woman tries to settle down and have children with a new man, but the memories of her lost love still haunt her. Spanish with English subtitles.","genre:drama,genre:movie,genre:drama/foreign-language-subtitled,mood:all-the-feels,mood:thought-provoking,channel:tvnz-online,distributor:rialto,branded-vod:filmstream",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/39guyoMZ4yfeAMWtJUvDS5/946e0bf2949523c8d6e6e32560585567/SexLifeofPlants_showtile.png.946e0bf2949523c8d6e6e32560585567.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/sex-life-of-plants.html,"drama, movie, foreign-language-subtitled","all-the-feels, thought-provoking",rialto,filmstream,3,1,Drama,Spanish,0
35,A Love Yarn ,"A small-town wool shop owner finds herself at a crossroads, when her business is threatened by a handsome American auditor.  Starring Anna Hutchison.","genre:movie,genre:drama/romance,genre:new-zealand,genre:closed-captions,mood:romantic,mood:kiwi-as,channel:tv-one,distributor:screentime",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/4ZVEtuQqVWQBDazEGoyRD6/5cb5f71ef414a1399befb8f9368808e7/ALoveYarn_showtile.png.5cb5f71ef414a1399befb8f9368808e7.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/a-love-yarn.html,"movie, romance, new-zealand, closed-captions","romantic, kiwi-as",screentime,,1,6,Comedy,English,1
36,Taken: The Search for Sophie Parker ,"When 18-year-old Sophie Parker is abducted on a spring break trip to Moscow, her mother, a tough NYPD detective, moves heaven and earth in her frantic quest to save her only child.","genre:movie,genre:drama,mood:thrilling,mood:mysterious,channel:tvnz-online,distributor:a-e,branded-vod:lifetime",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/74npdJJqgxX7bUGPtJY2gL/6deb1516fed8a63796cfa5ac143e024a/Lifetime_TakenTheSearchforSophieParker_showtile.png.6deb1516fed8a63796cfa5ac143e024a.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/taken-the-search-for-sophie-parker.html,"movie, drama","thrilling, mysterious",a-e,lifetime,3,4,Mystery,English,0
37,In A Flash ,"This emotional, original drama tells the true story of the six Elim College students and their teacher who tragically lost their lives in a flash flood at Mangatepopo Gorge in April of 2008. Made with the support of NZ On Air.","genre:new-zealand,genre:drama,genre:movie,genre:drama/real-life-stories,genre:sunday-theatre,channel:tv-one,distributor:screentime",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/1Pux8ICchqbhE8XAE6BOPn/4f826d29b2bdc02d8eea432fefe02e5b/InAFlash_showtile.png.4f826d29b2bdc02d8eea432fefe02e5b.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/in-a-flash.html,"new-zealand, drama, movie, real-life-stories, sunday-theatre",diverse,screentime,,6,2,Real Life Story,English,1
38,The Clan ,"The true story of the Puccio family, who made millions kidnapping and ransoming wealthy people in the 1980s. Spanish with English subtitles.","genre:drama/crime-thriller,genre:drama,genre:drama/foreign-language-subtitled,genre:movie,genre:drama/real-life-stories,mood:thrilling,mood:gritty,mood:dark,channel:tvnz-online,distributor:rialto,branded-vod:filmstream",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/2fZm24ceXBUoNIQngsALrQ/d6524186491da7eda045dc4bdca0412f/Filmstream_TheClan_showtile.png.d6524186491da7eda045dc4bdca0412f.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/the-clan.html,"crime-thriller, drama, foreign-language-subtitled, movie, real-life-stories","thrilling, gritty, dark",rialto,filmstream,2,0,Thriller,Spanish,0
39,Genghis ,"The relentless, brave warriors from Ghengis Khan's Aravt crew are sent into the woods on a dangerous mission that will put the band of Mongol warriors on the edge of life and death. Mongolian with English subtitles.","genre:drama,genre:drama/foreign-language-subtitled,genre:movie,genre:drama/period_drama,genre:drama/real-life-stories,mood:action-packed,mood:epic,channel:tvnz-online,distributor:rialto,branded-vod:filmstream",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/3VIIDjcZ5xyb5aAZY46m9r/51e63153b8f5857835eba2b66fd53906/Filmstream_Genghis_showtile.png.51e63153b8f5857835eba2b66fd53906.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/genghis.html,"drama, foreign-language-subtitled, movie, period, real-life-stories","action-packed, epic",rialto,filmstream,0,5,Action,English,0
40,Restless Virgins ,Based on the true story of the sex scandal which rocked New England prep school Milton Academy when the editor of the school newspaper released a sex tape featuring five senior members of the lacrosse team and a classmate.,"genre:drama,genre:movie,genre:drama/real-life-stories,genre:drama/soap,mood:revealing,mood:provocative,channel:tvnz-online,distributor:a-e,branded-vod:lifetime",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/1c7jhrGV0kunaZbj7yWWpM/915bdfd89cb4b1f25d8a3db03c7b189f/Lifetime_RestlessVirgin_showtile.png.915bdfd89cb4b1f25d8a3db03c7b189f.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/restless-virgins.html,"drama, movie, real-life-stories, soap","revealing, provocative",a-e,lifetime,2,2,Real Life Story,English,0
41,A Man Called Ove ,"The Oscar-nominated comedy-drama about Ove, an ill-tempered, isolated retiree who spends his days enforcing rules that only he cares about. He's given up on life, but when a boisterous young family moves in next door, an unlikely friendship develops. Swedish with English subtitles.","genre:drama/comedic,genre:comedy,genre:drama,genre:drama/foreign-language-subtitled,genre:movie,mood:witty,mood:all-the-feels,mood:quirky,channel:tvnz-online,distributor:rialto,branded-vod:filmstream",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/1TneGxd2LKLtWvawId7VwM/2b7b8b0a4c982877db74e7001df68d7f/AManCalledOve_showtile.png.2b7b8b0a4c982877db74e7001df68d7f.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/a-man-called-ove.html,"comedic, comedy, drama, foreign-language-subtitled, movie","witty, all-the-feels, quirky",rialto,filmstream,4,1,Drama,English,0
42,Don't Say a Word ,"When a psychiatrist's daughter is kidnapped, he must use his skills and powers of persuasion to meet the abductor's demands and ensure his daughter's safety. Starring Michael Douglas and Brittany Murphy.","genre:movie,genre:drama,mood:dark,mood:mysterious,mood:thrilling,channel:tv2,distributor:new-regency-films",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/7ox4sCbwV0SN32nFIEZisd/10cb3429acd0c8409ff43cef3e9d907d/TVNZ2_Don-t_Say_a_Word__showtile.png.10cb3429acd0c8409ff43cef3e9d907d.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/dont-say-a-word.html,"movie, drama","dark, mysterious, thrilling",new-regency-films,,2,4,Mystery,English,0
43,Death Of A Vegas Showgirl ,The true story of a Las Vegas dancer who vanishes without a trace on the eve of achieving her dream role. The subsequent investigation reveals the twisted depth of this love story gone wrong.,"genre:drama,genre:movie,mood:dark,mood:investigative,mood:mysterious,channel:tvnz-online,distributor:a-e,branded-vod:lifetime",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/7tegE6NyY0MKMUCyKn6FyC/963be638324c1be301cbb12a298d4b72/Death-of-a-Vegas-Showgirl_showtile.png.963be638324c1be301cbb12a298d4b72.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/death-of-a-vegas-showgirl.html,"drama, movie","dark, investigative, mysterious",a-e,lifetime,2,4,Mystery,English,0
44,Transfinite ,"This striking sci-fi feature film is composed of seven standalone short stories where supernatural trans and queer people from various cultures use their powers to protect, love, teach, fight and thrive.","genre:drama,genre:drama/lgbt,genre:adult-animation,genre:movie,mood:all-the-feels,mood:bold,mood:mysterious,channel:tvnz-online,distributor:outtv,branded-vod:outtv",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/1ea0fqx0oix4gytKAFvsee/baef19542dc4e7d4ea45cc64967469c6/Transfinite_ShowTile.png.baef19542dc4e7d4ea45cc64967469c6.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/transfinite.html,"drama, lgbt, adult-animation, movie","all-the-feels, bold, mysterious",outtv,outtv,2,3,Romance,English,0
45,Austin Powers: International Man of Mystery ,"Austin Powers, the swinging 60s secret agent, is brought out of cryofreeze in the 90s, to bring down his enemy mastermind, Dr. Evil. Starring Mike Myers.","genre:movie,genre:comedy,mood:crack-up,mood:silly,channel:tv2,distributor:roadshow",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/7a7Bhl923BfT8eGIfKhyAz/086036be5e4e9d6b0b9efbdaedd8972c/AustinPowers__showtile.png.086036be5e4e9d6b0b9efbdaedd8972c.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/austin-powers-international-man-of-mystery.html,"movie, comedy","crack-up, silly",roadshow,,1,6,Comedy,English,0
46,Shoplifters ,"A family of small-time crooks, who rely on shoplifting to cope with a life of poverty in Tokyo, take in a child they find outside in the cold. Japanese with English subtitles.","genre:drama,genre:drama/foreign-language-subtitled,genre:movie,mood:all-the-feels,mood:thought-provoking,mood:mysterious,channel:tvnz-online,distributor:rialto,branded-vod:filmstream",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/CNUxFnfpdaPNkH2EMDvWQ/2d9bec6e65a2aa8c30e8e51ed19e9eb9/Shoplifters_showtile.png.2d9bec6e65a2aa8c30e8e51ed19e9eb9.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/shoplifters.html,"drama, foreign-language-subtitled, movie","all-the-feels, thought-provoking, mysterious",rialto,filmstream,3,1,Drama,Japanese,0
47,7 Boxes,"Things get complicated for a teenage delivery boy in Paraguay's infamous Market 4, when he's asked to transport seven boxes with unknown contents. Spanish with English subtitles.","genre:movie,genre:drama/foreign-language-subtitled,genre:drama,genre:drama/crime-thriller,mood:action-packed,mood:suspenseful,mood:thrilling,channel:tvnz-online,distributor:rialto,branded-vod:filmstream",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/4rUw8ZxiTnM9iMtJDbO1f6/a6a51d8c28bdb3f05c7cfc5914e074e4/Filmstream_7_Boxes_showtile.png.a6a51d8c28bdb3f05c7cfc5914e074e4.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/7-boxes.html,"movie, foreign-language-subtitled, drama, crime-thriller","action-packed, suspenseful, thrilling",rialto,filmstream,3,5,Action,Spanish,0
48,Knight and Day ,"An innocent bystander is thrown into the fast-paced world of espionage, when she shares a flight with a disgraced spy trying to clear his name. Starring Tom Cruise and Cameron Diaz.","genre:movie,genre:closed-captions,mood:action-packed,mood:cheeky,mood:crack-up,channel:tv2,distributor:new-regency-films",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/7zm51cKDZDBknUNVVnZYju/3157841c79b54886b21b0251f17ae756/TVNZ2_Knight-and-Day_showtile.png.3157841c79b54886b21b0251f17ae756.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/knight-and-day.html,"movie, closed-captions","action-packed, cheeky, crack-up",new-regency-films,,1,5,Action,English,0
49,Girl ,"Lara, a 15-year-old transgender girl, is determined to become a professional ballerina and throws herself into her quest for perfection at a new school. French with English subtitles.","genre:drama,genre:drama/foreign-language-subtitled,genre:movie,genre:drama/lgbt,mood:bold,mood:all-the-feels,mood:psychological,channel:tvnz-online,distributor:rialto,branded-vod:filmstream",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/1py9Mmm8BxczWysbBqBRrN/5c208a3c11b61f66b9b0301e9d309876/Filmstream_Girl_showtile.png.5c208a3c11b61f66b9b0301e9d309876.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/girl.html,"drama, foreign-language-subtitled, movie, lgbt","bold, all-the-feels, psychological",rialto,filmstream,3,1,Drama,French,0
50,Le Grand Soir ,"When salesman Jean-Pierre is fired from his job, his punk brother decides it is time to introduce him to the world of the mosh-pit and non-conforming. Winner of the Special Jury Prize at Cannes. French with English subtitles.","genre:comedy,genre:movie,genre:drama/foreign-language-subtitled,mood:quirky,mood:crack-up,channel:tvnz-online,distributor:rialto,branded-vod:filmstream",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/7Gah0HLTZinokuorOrzA12/3a8d25408116b060111df1d0522730a5/Filmstream_LeGrandSoir_showtile.png.3a8d25408116b060111df1d0522730a5.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/le-grand-soir.html,"comedy, movie, foreign-language-subtitled","quirky, crack-up",rialto,filmstream,4,1,Drama,French,0
51,Snowed-Inn Christmas ,"Jenna Hudson and Kevin Jenner are polar opposites, working for the same online publication in New York City. When they both take the same assignment over the Christmas break, seasonal sparks fly.","genre:movie,genre:drama/romance,genre:christmas,genre:family,mood:all-the-feels,mood:sassy,mood:romantic,channel:tvnz-online,distributor:a-e,branded-vod:lifetime",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/6SLrhVnV4MMsIg7tkznHfy/8607e4553a0783e354a7abe970aa4ac1/Lifetime_Snowed-Inn_Christmas_showtile.png.8607e4553a0783e354a7abe970aa4ac1.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/snowed-inn-christmas.html,"movie, romance, christmas, family","all-the-feels, sassy, romantic",a-e,lifetime,5,3,Romance,English,0
52,Aaliyah: Princess of R&B ,"At the height of her music career, Aaliyah died tragically in a plane crash over the Bahamas. This is her story.","genre:movie,genre:drama,genre:drama/real-life-stories,genre:music,mood:all-the-feels,mood:epic,mood:iconic,channel:tvnz-online,distributor:a-e,branded-vod:lifetime",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/7IhMwaTbkz9T4dQiE4qvEH/1d217a68e1fb1d7eb40d7c8c41d551b4/TVNZOD_Aaliyah-The-Princess-of-R_B_showtile_V2.png.1d217a68e1fb1d7eb40d7c8c41d551b4.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/aaliyah-princess-of-r-and-b.html,"movie, drama, real-life-stories, music","all-the-feels, epic, iconic",a-e,lifetime,6,2,Real Life Story,English,0
53,The Real MVP: The Wanda Durant Story ,Based on the inspiring true story of NBA great Kevin Durant’s mother Wanda and her dedication to raising one of the greatest basketball players in the world.,"genre:drama,genre:movie,genre:drama/real-life-stories,genre:closed-captions,genre:sport,mood:revealing,mood:all-the-feels,channel:tvnz-online,distributor:a-e,branded-vod:lifetime",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/2ue2JMDmXz33pm4qV88qxB/0bd80724b9473870e6de2beb4d975638/Lifetime_TheRealMVP_TheWandaDurantStory_showtile.png.0bd80724b9473870e6de2beb4d975638.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/the-real-mvp-the-wanda-durant-story.html,"drama, movie, real-life-stories, closed-captions, sport","revealing, all-the-feels",a-e,lifetime,2,2,Real Life Story,English,0
54,Disaster Movie ,"A group of friends find themselves up against a torrent of disasters and catastrophes, in a hilarious slapstick parody of disaster movies. Starring Kim Kardashian.","genre:movie,genre:comedy,genre:closed-captions,mood:crack-up,mood:irreverent,mood:cheeky,channel:duke,distributor:icon",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/7a4fTTER65EftKaFBwn6Ge/6b3a62dcbc269caae44e06fbea2a230e/Disaster_Movie_showtile.png.6b3a62dcbc269caae44e06fbea2a230e.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/disaster-movie.html,"movie, comedy, closed-captions","crack-up, irreverent, cheeky",icon,,0,6,Comedy,English,0
55,Klown ,"To prove he's ready for fatherhood, Frank 'kidnaps' his pregnant girlfriend's 12-year-old nephew and takes him along on his best friend Casper's debauched canoe trip. Danish with English subtitles.","genre:comedy,genre:drama/foreign-language-subtitled,genre:movie,mood:crack-up,mood:provocative,mood:naughty,channel:tvnz-online,distributor:rialto,branded-vod:filmstream",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/6xITVHvOLcVWGFsBX9prLp/d6d2affb2862f480c6bce3373dd67500/Filmsteam_Klown_showtile.png.d6d2affb2862f480c6bce3373dd67500.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/klown.html,"comedy, foreign-language-subtitled, movie","crack-up, provocative, naughty",rialto,filmstream,4,1,Drama,English,0
56,Petals on the Wind ,"In the sequel to Flowers in the Attic, The Dollanganger siblings attempt to build normal lives for themselves after being held captive by their grandmother for several years. Trying to forget their sordid past, they come to realise that some secrets can't be left behind.","genre:movie,genre:drama,genre:drama/crime-thriller,channel:tvnz-online,distributor:a-e,branded-vod:lifetime",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/6HQAOdPiamKplB8ACCeEFG/2a6e4a338105b93119df913a3be21274/Lifetime_PetalsontheWind_showtile.png.2a6e4a338105b93119df913a3be21274.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/petals-on-the-wind.html,"movie, drama, crime-thriller",diverse,a-e,lifetime,1,0,Thriller,English,0
57,Sione's Wedding ,"When Michael and his three chaotic best mates are banned from attending his brother's wedding, they know something has to change. They get one last chance - find dates to the wedding or be left out in the cold! Starring Robbie Magasiva, Oscar Kightley and Teuila Blakely.","genre:movie,genre:new-zealand,genre:comedy,channel:tvnz-online,distributor:spp",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/4oQvEZFvwe6anj2xzvLnTr/4e6f38d648ae4336a0354025bb123c26/SionesWedding_showtile.png.4e6f38d648ae4336a0354025bb123c26.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/siones-wedding.html,"movie, new-zealand, comedy",diverse,spp,,1,6,Comedy,English,1
58,The Ideal Palace ,Discover the unlikely true story of a 19th century postman who dedicated 33 years of his life to building an extraordinary palace for his beloved daughter. French with English subtitles.,"genre:drama,genre:drama/foreign-language-subtitled,genre:movie,mood:epic,mood:irreverent,mood:lavish,channel:tvnz-online,distributor:rialto,branded-vod:filmstream",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/3fepRFkaelNIGr2BGPi3So/3ae6c5fce0fcf98b769d69a3aa323713/TheIdealPalace_showtile.png.3ae6c5fce0fcf98b769d69a3aa323713.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/the-ideal-palace.html,"drama, foreign-language-subtitled, movie","epic, irreverent, lavish",rialto,filmstream,4,1,Drama,French,0
59,The Assassin ,"A general's daughter trains to become an exceptional assassin, tasked with eliminating cruel and corrupt leaders in 8th century China. Mandarin with English subtitles.","genre:movie,genre:drama/foreign-language-subtitled,genre:drama/period_drama,mood:action-packed,mood:escapist,channel:tvnz-online,distributor:rialto,branded-vod:filmstream",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/5xyOv4HWioAdoKlPUrBHym/ebeb02b5695764740806f9c3d5f8a26a/Filmstream_The_Assassin_showtile.png.ebeb02b5695764740806f9c3d5f8a26a.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/the-assassin.html,"movie, foreign-language-subtitled, period","action-packed, escapist",rialto,filmstream,3,5,Action,Mandarin,0
60,Gangsta Granny ,"Ben thinks that his Granny is boring, until they go on a whirlwind adventure together and he discovers a whole other side of her. Based on the book by David Walliams.","genre:movie,genre:children,genre:kids,genre:comedy,channel:tvnz-online,distributor:bbc",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/1iJicMBO0i3Kr182WW1bOQ/99ef92e2bd1c9d2e13d219f72a62dbcd/GangstaGranny_showtile.png.99ef92e2bd1c9d2e13d219f72a62dbcd.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/gangsta-granny.html,"movie, children, kids, comedy",diverse,bbc,,1,6,Comedy,English,0
61,Feliz NaviDAD ,"A high school principal and single dad (Mario Lopez) lost the holiday spirit after also losing his wife during the Christmas season. Now, his 14-year-old daughter looks to bring back the spirit of the season.","genre:movie,genre:christmas,genre:drama/romance,genre:family,mood:all-the-feels,mood:comforting,mood:crack-up,channel:tvnz-online,distributor:a-e,branded-vod:lifetime",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/ZqzonCfRkyNevFgF9pzT4/df29719e751be9258d656d98abe57c0d/Lifetime_Feliz_NaviDAD_showtile.png.df29719e751be9258d656d98abe57c0d.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/feliz-navidad.html,"movie, christmas, romance, family","all-the-feels, comforting, crack-up",a-e,lifetime,5,3,Romance,English,0
62,A Sister's Secret ,"Twin sisters, one single and one married with children, switch places on their 30th birthday. When one twin is murdered, the survivor must keep up the charade to uncover her killer and protect her sister's family from harm.","genre:movie,genre:drama,genre:drama/crime-thriller,channel:tvnz-online,distributor:a-e,branded-vod:lifetime",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/5fWG5HArnSQKcSt4aLSfqt/408aa7b7b08b9c25aeac92113d110625/Lifetime_ASister_sSecret_showtile.png.408aa7b7b08b9c25aeac92113d110625.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/a-sisters-secret.html,"movie, drama, crime-thriller",diverse,a-e,lifetime,5,0,Thriller,English,0
63,Tazzeka ,"Hailing from the Moroccan village of Tazzeka, Elias meets a top French chef who inspires him to move to Paris and risk living there undocumented to follow his dreams. French / Moroccan Arabic with English subtitles.","genre:movie,genre:drama/foreign-language-subtitled,genre:drama,mood:revealing,mood:all-the-feels,mood:lavish,channel:tvnz-online,distributor:rialto,branded-vod:filmstream",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/2o27AE99tCrYVCFCA60n2w/55ddc13e2000e17392e24b6d055cefa5/Filmstream_Tazzeka_showtile.png.55ddc13e2000e17392e24b6d055cefa5.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/tazzeka.html,"movie, foreign-language-subtitled, drama","revealing, all-the-feels, lavish",rialto,filmstream,3,1,Drama,French,0
64,"The Unauthorised Beverly Hills, 90210 Story","Pop culture phenomenon Beverly Hills 90210 ruled the 90s television landscape. This special reveals the massive highs and lows, and what went on behind the scenes as the young stars rose to fame.","genre:movie,genre:closed-captions,genre:drama,genre:drama/real-life-stories,genre:drama/soap,mood:nostalgic,mood:all-the-feels,channel:tv2,distributor:a-e,branded-vod:lifetime",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/4GaA2xDdS6vXGRSuuSLWtF/6c9d15d95aedee6aa0ead5d7f57b240e/Lifetime_TheUnauthorizedBeverlyHills90210Story_showtile_2.png.6c9d15d95aedee6aa0ead5d7f57b240e.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/the-unauthorised-beverly-hills-90210-story.html,"movie, closed-captions, drama, real-life-stories, soap","nostalgic, all-the-feels",a-e,lifetime,4,2,Real Life Story,English,0
65,In Bed with Victoria ,"When a 30-something workaholic criminal lawyer bumps into her ex-husband, a drug dealer she successfully defended in court, and her good friend Vincent at a wedding, the series of events turns her life upside down. French with English subtitles.","genre:comedy,genre:drama,genre:drama/comedic,genre:drama/foreign-language-subtitled,genre:movie,genre:drama/romance,mood:romantic,mood:quirky,mood:witty,channel:tvnz-online,distributor:rialto,branded-vod:filmstream",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/7EUQWCz9qeDzEGFGVNsoBc/67fb7a0e4072b6b1dc60a0a81f935943/Filmstream_InBedwithVictoria_showtile.png.67fb7a0e4072b6b1dc60a0a81f935943.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/in-bed-with-victoria.html,"comedy, drama, comedic, foreign-language-subtitled, movie, romance","romantic, quirky, witty",rialto,filmstream,4,1,Drama,French,0
66,Kiwi ,The extraordinary story of a remarkable horse that became a racing legend when he ran from last to first over the final 300 metres at Flemington to win The Melbourne Cup. Made with the support of NZ On Air.,"genre:new-zealand,genre:movie,genre:drama,genre:drama/real-life-stories,genre:sunday-theatre,genre:closed-captions,channel:tv-one,distributor:rogue-prods",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/2zZo6wXaCBlJmbhaR3G5q6/466be07e0739f058435783d3f8710080/Kiwi_showtile.png.466be07e0739f058435783d3f8710080.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/kiwi.html,"new-zealand, movie, drama, real-life-stories, sunday-theatre, closed-captions",diverse,rogue-prods,,6,2,Real Life Story,English,1
67,Pool Boy Nightmare ,"When Gale ends her brief affair with pool cleaner Adam, he seduces Gale's teenage daughter Becca, using her as an unsuspecting pawn in a twisted game of revenge.","genre:drama/crime-thriller,genre:drama,genre:movie,genre:drama/soap,mood:thrilling,mood:suspenseful,channel:tvnz-online,distributor:a-e,branded-vod:lifetime",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/7ki08Re3EZtfeIYE5HW4qu/cc24b656a18616064d93bd5d475e1287/Lifetime_PoolBoyNightmare_showtile_v2.png.cc24b656a18616064d93bd5d475e1287.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/pool-boy-nightmare.html,"crime-thriller, drama, movie, soap","thrilling, suspenseful",a-e,lifetime,2,0,Thriller,English,0
